loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,loan_status,forty_plus_indicator,credit_age
5000.0,RENT,67000.0,3.21,0.1905,0.0,0,Under Forty,8844
7200.0,MORTGAGE,37500.0,25.5,0.1727,0.0,1,Under Forty,5404
3000.0,RENT,79000.0,6.82,0.21489999999999998,0.0,0,Under Forty,7535
14400.0,RENT,50000.0,7.56,0.1531,0.0,1,Over Forty,5465
13000.0,MORTGAGE,101500.0,4.73,0.1433,0.0,0,Under Forty,11827
6375.0,MORTGAGE,43000.0,23.25,0.1433,0.0,0,Under Forty,8418
7000.0,RENT,135000.0,20.52,0.1629,0.0,0,Under Forty,8510
5500.0,OWN,27000.0,10.49,0.158,0.0,0,Under Forty,5253
30000.0,RENT,90000.0,27.08,0.1531,0.0,0,Over Forty,8387
6400.0,RENT,85000.0,20.2,0.12119999999999999,0.0,0,Under Forty,5435
12000.0,RENT,40000.0,13.68,0.1531,0.0,1,Under Forty,8053
10000.0,RENT,32640.0,20.92,0.1433,0.0,0,Under Forty,9392
12000.0,MORTGAGE,35000.0,9.09,0.1727,0.0,0,Under Forty,5465
9600.0,RENT,32000.0,16.05,0.158,0.0,0,Under Forty,6105
3600.0,RENT,62400.0,17.78,0.1531,0.0,1,Under Forty,6653
4000.0,RENT,60000.0,27.68,0.1433,0.0,0,Under Forty,5253
15000.0,MORTGAGE,65000.0,10.25,0.1433,0.0,0,Under Forty,7627
10000.0,RENT,101000.0,23.38,0.1531,0.0,0,Under Forty,12558
5000.0,RENT,57000.0,13.6,0.1531,0.0,0,Under Forty,9392
8000.0,MORTGAGE,40000.0,9.84,0.18489999999999998,0.0,0,Under Forty,5070
5000.0,RENT,35000.0,10.05,0.1875,0.0,0,Under Forty,5983
20000.0,RENT,52000.0,30.74,0.1433,0.0,0,Under Forty,8084
9750.0,MORTGAGE,30000.0,27.64,0.1433,0.0,0,Under Forty,5253
5500.0,MORTGAGE,30000.0,11.4,0.1777,0.0,0,Under Forty,5192
11225.0,RENT,42000.0,26.07,0.1727,0.0,1,Over Forty,9271
5000.0,RENT,40000.0,12.96,0.1433,0.0,0,Under Forty,7535
4000.0,MORTGAGE,53560.0,9.86,0.1972,0.0,0,Under Forty,5009
8000.0,RENT,34200.0,11.93,0.1629,0.0,1,Under Forty,6043
13000.0,RENT,48000.0,28.23,0.158,0.0,1,Under Forty,6258
9750.0,RENT,30000.0,12.62,0.1777,0.0,0,Under Forty,4522
3600.0,RENT,54600.0,11.1,0.1433,0.0,1,Under Forty,3974
9600.0,MORTGAGE,78000.0,9.25,0.1433,0.0,0,Under Forty,7810
6000.0,MORTGAGE,55000.0,18.41,0.1905,0.0,0,Under Forty,6804
6025.0,MORTGAGE,42000.0,26.2,0.1433,0.0,0,Under Forty,6014
4500.0,RENT,59160.0,16.43,0.1727,0.0,0,Under Forty,10883
16000.0,RENT,80000.0,24.62,0.18489999999999998,0.0,1,Under Forty,7322
5000.0,MORTGAGE,138000.0,24.52,0.18489999999999998,0.0,0,Under Forty,9667
9500.0,MORTGAGE,37585.0,34.76,0.1433,0.0,0,Over Forty,13563
12575.0,MORTGAGE,80000.0,24.56,0.1433,0.0,1,Under Forty,7900
12325.0,MORTGAGE,45688.0,29.39,0.1433,0.0,0,Under Forty,6988
4000.0,RENT,36000.0,6.37,0.1875,0.0,0,Under Forty,5861
5400.0,MORTGAGE,57782.0,9.55,0.1629,0.0,0,Over Forty,7200
12000.0,RENT,60000.0,18.58,0.1531,0.0,0,Under Forty,5312
9600.0,RENT,75000.0,14.82,0.1629,0.0,0,Over Forty,6288
5000.0,OWN,25000.0,7.3,0.21,0.0,0,Under Forty,8722
7000.0,MORTGAGE,36000.0,23.03,0.1629,0.0,1,Under Forty,8022
25950.0,MORTGAGE,59066.0,30.88,0.1629,0.0,1,Under Forty,7841
4000.0,RENT,39000.0,11.35,0.1875,0.0,0,Under Forty,5162
